name,parliamentary_constituency,latt_long,network,county,region,needs
Banbury,Banbury,"52.060577,-1.340658",Trussell Trust,Oxfordshire,South East,
Caterham,East Surrey,"51.288328,-0.076156",Trussell Trust,Surrey,South East,"['Tinned Meat', 'Coffee', 'Fruit Juice', 'Sponge Puddings', 'Powdered Milk', 'Toiletries Including Feminine Hygiene Products , Deodorant', 'Shaving Products']"
Chalk Farm,Holborn and St Pancras,"51.541314,-0.156458",Trussell Trust,Greater London,London,"['UHT Milk', 'Feminine Hygiene Products', 'Detergent', 'Tinned Fruit', 'Instant Coffee', 'Oil', 'Toothpaste']"
Lifeshare (Manchester),Manchester Central,"53.483587,-2.231622",IFAN,Greater Manchester,North West,
Bognor Regis,Bognor Regis and Littlehampton,"50.783482,-0.678563",Trussell Trust,West Sussex,South East,
Epsom and Ewell,Epsom and Ewell,"51.364003,-0.268753",Trussell Trust,Surrey,South East,
Andover,North West Hampshire,"51.208002,-1.487977",Trussell Trust,Hampshire,South East,
Integrate Scotland Storehouse,Aberdeen South,"57.149048,-2.108616",IFAN,Scotland,Scotland,
Vale of Clwyd,Vale of Clwyd,"53.184845,-3.419042",Trussell Trust,Wales,Wales,
Carlisle,Carlisle,"54.8968151,-2.9371084",Independent,Cumbria,North West,
Monmouth and District,Monmouth,"51.813937,-2.712552",Trussell Trust,Wales,Wales,
Ballymoney,North Antrim,"55.0656562,-6.4860595",Trussell Trust,Northern Ireland,Northern Ireland,
Ashby,North West Leicestershire,"52.746513,-1.476266",Trussell Trust,Derbyshire,West Midlands,"['Tinned Carrots, Sweetcorn Or Peas', 'Instant Mash', 'Squash', 'Longlife Fruit Juice', 'Rice', 'Tinned Pulses', 'Instant Coffee', 'Tinned Fruit', 'Shower Gel', 'Toothpaste']"
The Olive Branch,Lancaster and Fleetwood,"54.0478422,-2.8087231",IFAN,Lancashire,North West,
Collier Row & Romford,Romford,"51.580045,0.182345",Trussell Trust,Greater London,London,
Knottingley,"Normanton, Pontefract and Castleford","53.70971249999999,-1.2383048",Trussell Trust,North Yorkshire,Yorkshire & Humber,
Bedworth,North Warwickshire,"52.47673,-1.472885",Trussell Trust,Warwickshire,West Midlands,
Harrogate District,Harrogate and Knaresborough,"54.000413,-1.497879",Trussell Trust,North Yorkshire,Yorkshire & Humber,
Bourne,Grantham and Stamford,"52.765469,-0.364243",Trussell Trust,Lincolnshire,Yorkshire & Humber,
Tamworth,Tamworth,"52.628347,-1.676158",Trussell Trust,Staffordshire,West Midlands,
Sadaka,Reading East,"51.4503749,-0.9469222",IFAN,Berkshire,South East,
Welshpool and District,Montgomeryshire,"52.659904,-3.152649",Trussell Trust,Shropshire,West Midlands,
Sustain,Tonbridge and Malling,"51.21132,0.275647",Independent,Kent,South East,
Durham,North Durham,"54.8766365,-1.5859899",Trussell Trust,County Durham,North East,
DN7,Doncaster North,"53.598936,-1.031437",IFAN,South Yorkshire,Yorkshire & Humber,
Copenhagen Street,Islington South and Finsbury,"51.536751,-0.118287",Independent,Greater London,London,
Wythenshawe,Wythenshawe and Sale East,"53.3804248,-2.2631342",Trussell Trust,Greater Manchester,North West,
Pershore,West Worcestershire,"52.111193,-2.077493",Trussell Trust,Worcestershire,West Midlands,
Tavistock,Torridge and West Devon,"50.548781,-4.146647",Trussell Trust,Devon,South West,
The Forest,Forest of Dean,"51.792897,-2.619061",Trussell Trust,Gloucestershire,South West,
Camden Mobile,Holborn and St Pancras,"51.531187,-0.12952",Independent,Greater London,London,
Rutherglen & Cambuslang,Rutherglen and Hamilton West,"55.827523,-4.213287",Trussell Trust,Scotland,Scotland,"['UHT Milk (Full Fat Or Semi Skimmed)', 'Jam', 'Cereals', 'Pasta Sauce', 'Soup', 'Sugar', 'UHT Milk (Full Fat Or Semi Skimmed)', 'Tinned Fruit', 'Jam', 'Shampoo', 'Deodorant']"
Cwmtawe Action To Combat Hardship,Neath,"51.767329,-3.781018",IFAN,Wales,Wales,
Springbank Community Group,Cheltenham,"51.912742,-2.118213",Independent,Gloucestershire,South West,
Colchester,Colchester,"51.8885284,0.9175522",Trussell Trust,Essex,East,
Chelwood Foodbank Plus,Cheadle,"53.386611,-2.178652",IFAN,Greater Manchester,North West,
Mid Norfolk,Mid Norfolk,"52.682402,0.945946",Trussell Trust,Norfolk,East,"['Instant Mash/tinned Potatoes', 'Long Life Fruit Juice', 'Tinned Meat', 'Tinned Rice Pudding', 'Toilet Roll', 'Size 1 And 2 Nappies']"
Ormskirk,West Lancashire,"53.568878,-2.888176",Trussell Trust,Lancashire,North West,
Poole,Poole,"50.71342,-1.988801",IFAN,Dorset,South West,
Arnold,Gedling,"52.995966,-1.137521",Trussell Trust,Nottinghamshire,East Midlands,
Causeway,East Londonderry,"55.1298101,-6.6553052",Trussell Trust,Northern Ireland,Northern Ireland,
Chesterfield,Chesterfield,"53.275437,-1.461196",Trussell Trust,Derbyshire,West Midlands,
Harrow,Harrow West,"51.588596,-0.328812",Trussell Trust,Greater London,London,"['20p Carrier Bags', 'Sponge Puddings', 'Full-fat Long Life Milk', '500g Rice', 'Packets Mashed Potato', 'Small Jars Coffee', 'Tinned Fruit', 'Tinned Carrots', 'Tinned Potatoes', 'Cooking Oil', 'Long-life Fruit Juice', 'Pasta Sauce', 'Women’s Deodorant', 'Adult And Children Toothpaste', 'Men’s Body Wash', 'Jam', 'Tinned Meatballs', 'Tinned Macaroni Cheese', 'Toilet Rolls', '20p Carrier Bags Urgently Needed', 'Sponge Puddings', 'Full-fat Long Life Milk', '500g Rice', 'Packets Mashed Potato', 'Small Jars Coffee', 'Tinned Fruit', 'Tinned Carrots', 'Tinned Potatoes', 'Cooking Oil', 'Long-life Fruit Juice', 'Pasta Sauce', 'Women’s Deodorant', 'Adult And Children Toothpaste', 'Men’s Body Wash', '20p Carrier Bags', 'Sponge Puddings', 'Full-fat Long Life Milk', '500g Rice', 'Packets Mashed Potato', 'Small Jars Coffee', 'Tinned Fruit', 'Tinned Carrots', 'Tinned Peas', 'Tinned Potatoes', 'Cooking Oil', 'Long-life Fruit Juice', 'Pasta Sauce', 'Women’s Deodorant', 'Adult And Children Toothpaste', 'Men’s Body Wash', 'Tinned Fruit', 'Sponge Puddings', 'Full Fat Long-life Milk', 'Men’s Body Wash', '500g Rice', 'Noodles', '500g Sugar', 'Packets Mashed Potato', 'Small Jars Coffee', '20p Carrier Bags', 'Tinned Carrots', 'Tinned Peas', 'Tinned Potatoes', 'Cooking Oil 1 Litre', 'Marmalade', 'Long-life Juice', 'Pasta Sauce', 'Dry Spaghetti', 'Mayonnaise', ""Women's Deodorant"", 'Adult And Children Toothpaste', 'Toilet Roll']"
Stamford & Oundle,Grantham and Stamford,"52.651649,-0.485526",Trussell Trust,Cambridgeshire,East,
Provide Devon,"Plymouth, Moor View","50.40434,-4.159689",Independent,Devon,South West,
Newhaven,Lewes,"50.79413,0.048585",Independent,East Sussex,South East,
Chichester District,Chichester,"50.838221,-0.784395",Trussell Trust,West Sussex,South East,"['Squash', 'Meat/fish Paste For Sandwiches', 'Tinned Fruit', 'Razors And Shaving Foam/gel', 'Sponge Puddings', 'Multi-purpose Cleaner', 'Tinned Meat', 'Plastic Carrier Bags - Bags For Life Preferably.', 'Squash', 'Meat/fish Paste For Sandwiches', 'Tinned Fruit', 'Tinned Tomatoes', 'Razors And; Shaving Foam/gel', 'Sponge Puddings', 'Multi-purpose Cleaner', 'Tinned Vegetables', 'Plastic Carrier Bags - Bags For Life Preferably.', 'Meat/fish Paste For Sandwiches', 'Tinned Fruit', 'Tinned Tomatoes', 'Razors And; Shaving Foam/gel', 'Sponge Puddings', 'Long Life Milk', 'Multi-purpose Cleaner', 'Tinned Vegetables', 'Plastic Carrier Bags - Bags For Life Preferably.']"
The Pantry,South Down,"54.2022401,-5.8921353",Independent,Northern Ireland,Northern Ireland,
North Guildford,Guildford,"51.244719,-0.611864",Independent,Surrey,South East,
Codicote,Stevenage,"51.847677,-0.232579",Independent,Hertfordshire,East,
CMFFA,Milton Keynes North,"52.041584,-0.764186",IFAN,Buckinghamshire,South East,
Kinross,Ochil and South Perthshire,"56.21385,-3.427332",IFAN,Scotland,Scotland,
Warminster and District,South West Wiltshire,"51.205729,-2.181076",Independent,Wiltshire,South West,
West Northumberland,Hexham,"54.975273,-2.104829",IFAN,Northumberland,North East,
The Hut (Dornoch),"Caithness, Sutherland and Easter Ross","57.879534,-4.0267522",Independent,Scotland,Scotland,
Salvation Army,Bermondsey and Old Southwark,"51.4968591,-0.0988249",Independent,Greater London,London,
Lampeter Food Bank,Ceredigion,"52.116459,-4.072976",IFAN,Wales,Wales,
Okehampton,Central Devon,"50.739455,-4.002193",Independent,Devon,South West,
Hollingdean,"Brighton, Pavilion","50.843126,-0.126884",Trussell Trust,East Sussex,South East,
Acocks Green,"Birmingham, Yardley","52.4454544,-1.828158",Independent,West Midlands,West Midlands,
Churches,West Ham,"51.547741,0.00123",IFAN,Greater London,London,
Worthing Food Foundation,East Worthing and Shoreham,"50.816302,-0.353579",Independent,West Sussex,South East,
The Gate,Ochil and South Perthshire,"56.1184,-3.797572",IFAN,Scotland,Scotland,
Pontarddulais,Gower,"51.719028,-4.039512",Independent,Wales,Wales,
Dartmoor Community Kitchen Hub,Central Devon,"50.593359,-3.675081",IFAN,Devon,South West,
Southwark,Camberwell and Peckham,"51.474117,-0.068407",Trussell Trust,Greater London,London,"['Baked Beans', 'Tinned Fruit', 'Jam', 'Tinned Pulses - Kidney Beans Chickpeas', 'Tinned Vegetarian Options', 'Rice Pudding', 'Rice 1kg Bags', 'Cartons Of Juice (1 Litre)', 'Baby Wipes']"
Ryedale,Thirsk and Malton,"54.133648,-0.792856",Trussell Trust,North Yorkshire,Yorkshire & Humber,
Worcester,Worcester,"52.195169,-2.217207",Trussell Trust,Worcestershire,West Midlands,
Watford,Watford,"51.669008,-0.392896",Trussell Trust,Hertfordshire,East,
Fareham & Gosport Basics Bank,Fareham,"50.853335,-1.180056",IFAN,Hampshire,South East,
Billericay,Basildon and Billericay,"51.6272903,0.4193195",Independent,Essex,East,
Granville Community Kitchen,Hampstead and Kilburn,"51.532726,-0.197367",IFAN,Greater London,London,
Wantage and Grove,Wantage,"51.592879,-1.436127",Independent,Berkshire,South East,
Coatbridge,"Coatbridge, Chryston and Bellshill","55.857867,-4.019846",IFAN,Scotland,Scotland,
Eat Or Heat,Walthamstow,"51.589132,-0.021494",IFAN,Greater London,London,
Islington,Islington North,"51.55075,-0.103631",Trussell Trust,Greater London,London,
Ashington Life Centre,Wansbeck,"55.1829675,-1.5777082",Independent,Northumberland,North East,
Dartmouth & District,Totnes,"50.351717,-3.581192",Independent,Devon,South West,
Al-Ikhlas,Cardiff Central,"51.487923,-3.155484",IFAN,Wales,Wales,
Shepway,Folkestone and Hythe,"51.0782448,1.1783045",Trussell Trust,Kent,South East,"['Spreads', ""Children's Toothbrushes"", 'Coffee', 'Household Cleaner (No Bleach)']"
Cupboard Love,West Dorset,"50.729361,-2.758095",Independent,Dorset,South West,
Lochaber,"Ross, Skye and Lochaber","56.819288,-5.109231",Independent,Scotland,Scotland,
Family Food Bank,Ashford,"51.13194,0.903099",Independent,Kent,South East,
Square Mile,Cities of London and Westminster,"51.519959,-0.094129",IFAN,Greater London,London,
Haverhill,West Suffolk,"52.078616,0.42765",Trussell Trust,Essex,East,
Amman Valley,Neath,"51.79304,-3.87507",Independent,Wales,Wales,
Stoke-on-Trent,Stoke-on-Trent South,"52.969863,-2.163615",Trussell Trust,Staffordshire,West Midlands,"['Tinned Desserts', 'UHT Milk', 'Jam', 'Tinned Fish', 'Tea Bags Size 40s', 'Fruit Juice', 'Carrier Bags', 'Cereal', 'Tinned Soup', 'Tinned Tomato', 'Jar Pasta Sauce', 'Tinned Vegetables', 'Tinned Meat', 'Tinned Fish', 'Rice Pudding', 'Tinned Fruit', 'Tinned Sponge Pudding', 'Biscuits', 'Tea Bags', 'UHT Fruit Juice', 'UHT Milk', 'Savoury Treats', 'Sweet Treats / Chocolate Etc', 'Coffee', 'Jam', ""Tea Bags Size 40's"", 'Fruit Juice', 'Carrier Bags', 'Cereal', 'Tinned Soup', 'Tinned Tomato', 'Jar Pasta Sauce', 'Tinned Vegetables', 'Tinned Meat', 'Tinned Fish', 'Rice Pudding', 'Tinned Fruit', 'Tinned Sponge Pudding', 'Biscuits', 'Tea Bags', 'UHT Fruit Juice', 'UHT Milk', 'Savoury Treats', 'Sweet Treats / Chocolate Etc', 'Coffee', 'Mash', 'Jam', 'Fruit Juice', 'Carrier Bags', 'Cereal', 'Tinned Soup', 'Tinned Tomato', 'Jar Pasta Sauce', 'Tinned Vegetables', 'Tinned Meat', 'Tinned Fish', 'Rice Pudding', 'Tinned Fruit', 'Tinned Sponge Pudding', 'Biscuits', 'Tea Bags', 'UHT Fruit Juice', 'UHT Milk', 'Savoury Treats', 'Sweet Treats / Chocolate Etc', 'Coffee']"
Moray Food Plus,Moray,"57.6484361,-3.3183381",Independent,Scotland,Scotland,
Rye,Hastings and Rye,"50.9518852,0.7321487999999999",Trussell Trust,East Sussex,South East,
Guernsey,,"49.4522676,-2.5410211",Independent,Guernsey,Guernsey,"['Corned Beef', 'Pasta Sauce', 'Custard And Rice Pudding', 'Rice Pudding', 'Pasta Sauce', 'Sugar', 'Tomato Sauce', 'Tinned Meat (Corned Beef, Hot Dogs Etc)', 'Coffee', 'Crisps', 'Custard', 'Tinned Vegetables (Peas, Carrots, Sweetcorn, Potatoes)', 'Tinned Fruit', 'Tinned Spaghetti', 'Tuna', 'Rice', 'Mayonnaise', 'Biscuits', 'Strawberry Jam', 'Cereals', 'Orange Or Blackcurrant Squash', 'Fray Bentos Pies']"
Rochdale,Rochdale,"53.616698,-2.157174",Trussell Trust,Greater Manchester,North West,
Salford Food Parcels,Salford and Eccles,"53.486047,-2.294327",Independent,Greater Manchester,North West,
East Neuk,North East Fife,"56.223576,-2.699639",IFAN,Scotland,Scotland,
St Saviour's Sunbury,Spelthorne,"51.4211184,-0.419563",Independent,Surrey,South East,
Batley,Batley and Spen,"53.713725,-1.632877",IFAN,West Yorkshire,Yorkshire & Humber,"['Tinned Meat, Fish, Halal And Meat-free Alternatives', 'Tinned Potatoes And Other Vegetables, Fruit, Rice Pudding, Custard', 'Breakfast Cereals, UHT Milk, Jam', 'Cooking Sauces', 'Microwaveable Rice, Noodle And Pasta Pots', 'Drinks Such As Tea Bags, Instant Coffee, Fruit Squashes, Other Soft Drinks', 'Biscuits And Sweet Treats For Children Of All Ages', 'Toiletries Including Toilet Roll, Soap/shower And Bath, Deodorants, Razors And Shave Gel, Sanitary Towels And Tampons']"
Blackburn,Blackburn,"53.746464,-2.493176",Trussell Trust,Lancashire,North West,
St Paul's (Hounslow),Feltham and Heston,"51.471077,-0.380106",IFAN,Greater London,London,
St John's,Hackney North and Stoke Newington,"51.565778,-0.099832",Independent,Greater London,London,
Newquay,St Austell and Newquay,"50.41278,-5.044973",IFAN,Cornwall,South West,
The Brick,Wigan,"53.544714,-2.631101",Independent,Greater Manchester,North West,
Fair Frome,Somerton and Frome,"51.2293374,-2.324913",IFAN,Somerset,South West,
Haslemere,South West Surrey,"51.087644,-0.733583",Independent,Surrey,South East,
Melksham,Chippenham,"51.376946,-2.142491",Independent,Wiltshire,South West,
Loveworks,Reigate,"51.237547,-0.205358",Independent,Surrey,South East,
Glasgow Vineyard Storehouse,Glasgow North West,"55.893566,-4.324704",IFAN,Scotland,Scotland,
The Community Storehouse,Tunbridge Wells,"51.178737,0.395821",Independent,Kent,South East,
Weardale,North West Durham,"54.746256,-2.004737",Independent,County Durham,North East,
Wycombe Food Hub,Wycombe,"51.630975,-0.751888",IFAN,Buckinghamshire,South East,
